year	municipality	id08	treated	_ID	_CX	_CY	PRO_COM	SHAPE_LEN	SHAPE_AREA
2008.0	"OGLIASTRO CILENTO"	4639	1.0	6869	1014477.9787303399	4485056.668723778	65081	20406.0733823	1.32425553273E7
2008.0	"OLBIA"	4640	0.0	7922	540403.3150728421	4530345.870703644	104017	247055.960791	3.83636105633E8
2008.0	"OLCENENGO"	4641	1.0	195	446494.46319338004	5022689.990629985	2088	20938.5174882	1.65035073719E7
2008.0	"OLDENICO"	4642	1.0	202	451961.7223575502	5027182.499242191	2089	14991.604532	6526965.72052
2008.0	"OLEGGIO"	4643	0.0	272	472407.1970414336	5049331.799514358	3108	38962.2578501	3.77942886335E7
2008.0	"OLEGGIO CASTELLO"	4644	1.0	199	463432.2536310498	5065757.382435516	3109	14838.4601483	5935123.01099
2008.0	"OLEVANO DI LOMELLINA"	4645	1.0	2372	478178.57241336367	5006116.576422013	18104	20773.3264119	1.53810037698E7
2008.0	"OLEVANO ROMANO"	4646	0.0	5809	834338.3239851332	4640759.267794708	58073	29751.6810423	2.61597404573E7
2008.0	"OLEVANO SUL TUSCIANO"	4647	0.0	6870	1009660.7716386067	4519222.522875831	65082	29156.6322392	2.67238579633E7
2008.0	"OLGIATE COMASCO"	4648	0.0	1634	497669.0905006978	5070266.401931683	13165	16117.5565002	1.09644020906E7
2008.0	"OLGIATE MOLGORA"	4649	0.0	3152	531058.6172618232	5064170.594614847	97058	19298.8913163	7090950.97051
2008.0	"OLGIATE OLONA"	4650	0.0	2119	490479.59979269834	5052951.576687799	12108	14451.0841698	7206560.08054
2008.0	"OLGINATE"	4651	0.0	3159	532021.9343595507	5070458.711707802	97059	18300.2860589	8000363.27641
2008.0	"OLIENA"	4652	0.0	7834	537798.3683176524	4460336.068395271	91055	59444.9255485	1.65737375281E8
2008.0	"OLIVA GESSI"	4653	1.0	2270	514445.3289241235	4983085.98508281	18105	9483.02663826	3910107.32467
2008.0	"OLIVADI"	4654	1.0	6585	1145193.5741781006	4313132.247014885	79088	15095.6503731	7168730.50192
2008.0	"OLIVERI"	4655	1.0	7703	1030198.517541669	4235489.518406738	83063	14906.682712	1.04347516489E7
2008.0	"OLIVETO CITRA"	4656	0.0	6899	1025265.5972295016	4523230.98045593	65083	25276.8800259	3.16214376852E7
2008.0	"OLIVETO LARIO"	4657	1.0	3035	522107.6204180793	5086387.445813308	97060	23227.2582752	1.56963204561E7
2008.0	"OLIVETO LUCANO"	4658	1.0	7290	1108973.12052524	4511488.368208254	77019	26637.7099487	3.11844242874E7
2008.0	"OLIVETTA SAN MICHELE"	4659	1.0	4574	381192.136227684	4858322.238684557	8038	23440.603196	1.383749063E7
2008.0	"OLIVOLA"	4660	1.0	2048	450243.0902746838	4987076.807435695	6118	8483.39421416	2690791.27367
2008.0	"OLLASTRA"	4661	1.0	8072	479253.5231668142	4423263.528880599	95037	22420.4921302	2.14698394235E7
2008.0	"OLLOLAI"	4662	1.0	7837	515377.10174229037	4446738.251031087	91056	33412.2226491	2.72371860477E7
2008.0	"OLLOMONT"	4663	1.0	2145	368970.959168942	5082331.988089176	7046	34510.2916526	5.34824817232E7
2008.0	"OLMEDO"	4664	1.0	7825	447886.9197304516	4500171.689339989	90048	26947.8644317	3.34655077648E7
2008.0	"OLMENETA"	4665	1.0	516	580715.1942529221	5010065.876815533	19063	20921.316624	9154101.43307
2008.0	"OLMO AL BREMBO"	4666	1.0	3367	550276.049030613	5090945.080922217	16145	15109.338047	7903307.37018
2008.0	"OLMO GENTILE"	4667	1.0	1336	440587.3260137095	4936790.050901154	5081	12790.4417226	5616995.18441
2008.0	"OLTRE IL COLLE"	4668	1.0	3098	560854.8734586425	5084629.745321324	16146	30378.0675375	3.28918766123E7
2008.0	"OLTRESSENDA ALTA"	4669	1.0	3216	576411.7595035813	5088041.622271021	16147	27058.8549661	1.73261638803E7
2008.0	"OLTRONE SAN MAMETTE"	4670	1.0	1635	497758.17669182364	5066828.434058852	13169	9315.85813764	2688010.16992
2008.0	"OLZAI"	4671	1.0	7769	507444.91904611554	4446897.225340553	91057	56161.9466727	6.98209124943E7
2008.0	"OME"	4672	0.0	3169	587623.4175363515	5053534.997428246	17123	15214.6216897	9848158.47506
2008.0	"OMEGNA"	4673	0.0	900	454800.43806177645	5079842.566859113	103050	29590.3547928	3.03719449419E7
2008.0	"OMIGNANO"	4674	1.0	6900	1019139.4178374357	4473377.210846943	65084	17319.7588939	1.01007559922E7
2008.0	"ONANI'"	4675	1.0	7802	538224.0392187608	4487056.622755721	91058	62767.0381858	7.19699814619E7
2008.0	"ONANO"	4676	1.0	5437	730262.8393780487	4729570.101155639	56040	28249.3339034	2.45076534968E7
2008.0	"ONCINO"	4677	1.0	475	354340.6327562908	4945817.78633139	4154	34457.5588925	4.73591759925E7
2008.0	"ONETA"	4678	1.0	3228	562820.1976948606	5079769.675100389	16148	22203.1167998	1.86636361739E7
2008.0	"ONIFAI"	4679	1.0	7778	558759.2906874393	4476634.584980901	91059	32857.8449438	4.3184306126E7
