NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
8;;;;;;;SESSA CILENTO;653;713;1.366
9;;;;;;;STELLA CILENTO;378;396;774
0;4150726030;CAMPANIA;SALERNO;VALLE DELL'ORCO;1-Gen-2003;4;;15.013;15.481;30.494
1;;;;;;;BRACIGLIANO;2.709;2.730;5.439
2;;;;;;;CALVANICO;780;790;1.570
3;;;;;;;CASTEL SAN GIORGIO;6.573;6.838;13.411
4;;;;;;;SIANO;4.951;5.123;10.074
0;2080136050;EMILIA-ROMAGNA;BOLOGNA;TERRE DI PIANURA;1-Gen-2011;6;;32.637;34.697;67.334
1;;;;;;;BARICELLA;3.304;3.459;6.763
2;;;;;;;BUDRIO;8.720;9.288;18.008
3;;;;;;;CASTENASO;6.868;7.484;14.352
4;;;;;;;GRANAROLO DELL'EMILIA;5.241;5.525;10.766
5;;;;;;;MALALBERGO;4.308;4.463;8.771
6;;;;;;;MINERBIO;4.196;4.478;8.674
0;2080136070;EMILIA-ROMAGNA;BOLOGNA;UNIONE DEI COMUNI DELL'APPENNINO BOLOGNESE;1-Gen-2014;9;;22.458;22.742;45.200
1;;;;;;;CASTEL D'AIANO;988;963;1.951
2;;;;;;;CASTEL DI CASIO;1.727;1.752;3.479
3;;;;;;;CASTIGLIONE DEI PEPOLI;2.903;2.967;5.870
4;;;;;;;GAGGIO MONTANO;2.484;2.582;5.066
5;;;;;;;GRIZZANA MORANDI;2.044;1.938;3.982
6;;;;;;;MARZABOTTO;3.286;3.398;6.684
7;;;;;;;MONZUNO;3.092;3.041;6.133
8;;;;;;;SAN BENEDETTO VAL DI SAMBRO;2.208;2.185;4.393
9;;;;;;;VERGATO;3.726;3.916;7.642
0;2080136010;EMILIA-ROMAGNA;BOLOGNA;UNIONE DEI COMUNI VALLI DEL RENO, LAVINO E SAMOGGIA;1-Gen-2009;4;;37.590;41.141;78.731
1;;;;;;;CASALECCHIO DI RENO;16.488;18.685;35.173
2;;;;;;;MONTE SAN PIETRO;5.297;5.523;10.820
3;;;;;;;SASSO MARCONI;7.003;7.542;14.545
4;;;;;;;ZOLA PREDOSA;8.802;9.391;18.193
0;2080136020;EMILIA-ROMAGNA;BOLOGNA;UNIONE MONTANA VALLI SAVENA E IDICE;1-Gen-2009;4;;15.282;15.701;30.983
1;;;;;;;LOIANO;2.227;2.207;4.434
2;;;;;;;MONGHIDORO;1.901;1.905;3.806
3;;;;;;;MONTERENZIO;2.926;2.927;5.853
4;;;;;;;PIANORO;8.228;8.662;16.890
0;2080136040;EMILIA-ROMAGNA;BOLOGNA;UNIONE RENO GALLIERA;1-Gen-2008;8;;34.861;36.412;71.273
1;;;;;;;ARGELATO;4.736;4.920;9.656
2;;;;;;;BENTIVOGLIO;2.637;2.721;5.358
3;;;;;;;CASTEL MAGGIORE;8.430;9.077;17.507
4;;;;;;;CASTELLO D'ARGILE;3.243;3.215;6.458
5;;;;;;;GALLIERA;2.666;2.796;5.462
6;;;;;;;PIEVE DI CENTO;3.378;3.517;6.895
7;;;;;;;SAN GIORGIO DI PIANO;3.968;4.233;8.201
8;;;;;;;SAN PIETRO IN CASALE;5.803;5.933;11.736
0;2080136060;EMILIA-ROMAGNA;BOLOGNA;UNIONE TERRE D'ACQUA;16-Lug-2012;6;;39.666;41.237;80.903
1;;;;;;;ANZOLA DELL'EMILIA;5.884;5.967;11.851
2;;;;;;;CALDERARA DI RENO;6.486;6.662;13.148
3;;;;;;;CREVALCORE;6.592;6.935;13.527
4;;;;;;;SALA BOLOGNESE;4.124;4.121;8.245
5;;;;;;;SAN GIOVANNI IN PERSICETO;13.028;13.964;26.992
6;;;;;;;SANT'AGATA BOLOGNESE;3.552;3.588;7.140
0;2080296030;EMILIA-ROMAGNA;FERRARA;DELTA DEL PO;1-Gen-2014;5;;18.297;19.598;37.895
1;;;;;;;CODIGORO;5.910;6.479;12.389
2;;;;;;;FISCAGLIA;4.629;4.890;9.519
3;;;;;;;GORO;1.899;1.996;3.895
4;;;;;;;LAGOSANTO;2.363;2.589;4.952
5;;;;;;;MESOLA;3.496;3.644;7.140
